key,5,6
#,,
offset,0,4
int32,str,str
0,無効,無効
1,Great Fortune,Thou shalt experience extraordinary fortune. Keep these words of guidance in thy heart.
2,Good Fortune,Thou shalt experience exceptional fortune. Keep these words of guidance in thy heart.
3,Fair Fortune,Thou shalt experience moderate fortune. Keep these words of guidance in thy heart.
4,Small Fortune,Thou shalt experience limited fortune. Keep these words of guidance in thy heart.
5,Misfortune,"Thou shalt experience misfortune. Heed these words of guidance, and thy luck may change."
6,Grave Misfortune,"Thou shalt experience considerable misfortune. Heed these words of guidance, and thy luck may change."
