key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_OPENINGULDAH_WYMOND_000_10,¡No seas así <hex:020811E905FF06>amiga<hex:FF06>amigo<hex03>! ¡Te prometó que haré que valga la pena!
1,TEXT_OPENINGULDAH_TUTUMOKO_000_10,Parece que Ul'dah no es de tu agrado visitante. ¿Por qué no te pasas por Quicksand y disfrutas de su hospitalidad antes de que decidas dejarnos?
2,TEXT_OPENINGULDAH_BUBUKKULI_000_05,"¡ALTO! No te has unido al Gremio aun ¿verdad? Claro, ya imaginaba que no. Dirígete hacia Quicksand y regístrate, es obligatorio que los aventureros se registren."
3,TEXT_OPENINGULDAH_YUYUTAZI_000_10,"Oye, ¿No estabas en el carro que acaba de llegar a la ciudad? Todos los nuevos aventureros deben registrarse en el gremio antes de poder andar libremente por la ciudad."
4,TEXT_OPENINGULDAH_WIL_SYSTEM_000_20,"Te damos la Bienvenida a Ul'dah, el resplandeciente faro de prosperidad que se alza en los desiertos de Thanalan."
5,TEXT_OPENINGULDAH_WIL_SYSTEM_000_21,"Sigue las instrucciones para mover tu personaje y ajustar la posición de la cámara."
6,TEXT_OPENINGULDAH_WIL_SYSTEM_000_22,"Cuando desees continuar habla con Wymond."
7,TEXT_OPENINGULDAH_FST_SYSTEM_000_23,"Por favor, selecciona el esquema de control que te gustaría usar."
8,TEXT_OPENINGULDAH_FST_SYSTEM_Q_01,¿Qué esquema de controles te gustaría usar?
9,TEXT_OPENINGULDAH_FST_SYSTEM_A_01,"Teclado y Ratón"
10,TEXT_OPENINGULDAH_FST_SYSTEM_A_02,<hex:020815E1E94C02FF06>Mando<hex:FF08>Gamepad<hex:03>
