key,0,1
#,Name,Description
offset,0,4
int32,str,str
0,,
1,"Halone, la Furia","Halone, la movilizadora de glaciares y diosa de la guerra, es la deidad guardiana de Ishgard.
Ella controla el elemento de hielo y está asociada con la primera luna del calendario de Eorzea. Halone es la hija de Rhalgr y una amarga rival de Nophica.
A menudo se la representa como una guerrera implacable armada con un gran escudo de bronce. Su símbolo son las tres lanzas."
2,"Menphina, la Amante","Menphina es la guardiana de la luna y la diosa del amor.
Ella controla el elemento del hielo y está asociada con la segunda luna del calendario de Eorzea. Menphina es la hermana de Azeyma y la amante divina de Oschon.
A menudo se la representa como una doncella que lleva una sartén redonda. Su símbolo es la luna llena."
3,"Thaliak, el Erudito","Thaliak, gobernante de los ríos y la sabiduría, y dios del conocimiento, es la deidad guardiana de Sharlayan.
Él controla el elemento del agua y está asociado con la tercera luna del calendario de Eorzea. Thaliak es el padre de Llymlaen y el maestro de Byregot.
A menudo se le representa como un erudito reservado que sostiene un bastón ceniciento. Su símbolo es el pergamino."
4,"Nymeia, la Hilandera","Nymeia es la observadora de cuerpos celestiales y diosa del destino.
Ella controla el elemento del agua y está asociada con la cuarta luna del calendario de Eorzea. Nymeia es la hermana menor de Althyk y la maestra de Rhalgr.
A menudo se la representa como una tejedora que lleva un velo de seda blanca. Su símbolo es la rueca."
5,"Llymlaen, la Navegante","Llymlaen, observadora de los mares y diosa de la navegación, es la deidad guardiana de Limsa Lominsa.
Ella controla el elemento del viento y está asociada con la quinta luna del calendario de Eorzea. Llymlaen es la hija de Thaliak y la hermana mayor de Nophica.
A menudo se la representa como una fuerte pescadora que empuña un arpón de hoja larga. Su símbolo es la ola."
6,"Oschon, el Peregrino","Oschon es el gobernante de las montañas y dios de los viajeros y vagabundos.
Controla el elemento del viento y está asociado con la sexta luna del calendario de Eorzea. Oschon es el hermano de Nald'thal y compañero cercano de Halone.
A menudo se le representa como un despreocupado guardabosques que empuña un arco de tejo. Su símbolo es el bastón de caminar."
7,"Byregot, el Constructor","Byregot es el proveedor de la arquitectura y la industria, así como el dios de las artes.
Controla el elemento del rayo y está asociado con la séptima luna del calendario de Eorzea. Byregot es el hermano mayor de Halone y discípulo de Thaliak.
A menudo se le representa como un ardiente herrero con un martillo de dos cabezas. Su símbolo es la mano."
8,"Rhalgr, el Destructor","Rhalgr, el destructor de mundos, es el dios de la destrucción y la deidad guardiana de la ahora caída nación de Ala Mhigo.
Controla el elemento del rayo y está asociado con la octava luna del calendario de Eorzea. Rhalgr es el padre tanto de Byregot como de Halone, y sirve como asistente de Nymeia.
A menudo se le representa como un mago que lleva un bastón de bronce. Su símbolo es el meteoro que se desplaza."
9,"Azeyma, la Vigilante","Azeyma es la guardiana del sol y diosa de la indagación. Controla el elemento del fuego y está asociada con la novena luna del calendario de Eorzea.
Azeyma es la hija de Althyk y la hermana mayor de Menphina.
A menudo se la representa como una dama noble que sostiene un abanico dorado. Su símbolo es el sol radiante."
10,"Nald'thal, Los Comerciantes","Nald'thal, supervisor del inframundo y dios del comercio, es el dios guardián de Ul'dah.
Controla el elemento del fuego y está asociado con la décima luna del calendario de Eorzea. Nald'thal es la única manifestación de los dioses gemelos Nald y Thal.
A menudo se le representa como un comerciante perspicaz que sostiene una balanza. Su símbolo es el caurí, una antigua moneda de concha."
11,"Nophica, La Matrona","Nophica, cuidadora de los suelos y las cosechas, y diosa de la abundancia, es la diosa guardiana de Gridania.
Controla el elemento de la tierra y está asociada con la undécima luna del calendario de Eorzea. Nophica es la hija de Azeyma y la hermana menor de Llymlaen.
A menudo se la representa como una granjera jubilosa que sostiene una guadaña de acero. Su símbolo es la hoja de primavera."
12,"Althyk, el Custodio","Althyk es el observador del cambio y el espacio, y dios del tiempo.
Controla el elemento de la tierra y está asociado con la duodécima luna del calendario de Eorzea. Althyk es el padre de Azeyma y Menphina, y hermano mayor de Nymeia.
A menudo se le representa como un emperador austero que empuña un gran hacha de mitrilo. Su símbolo es el reloj de arena."
